Codice Cliente,Ship To Location,Ragione Sociale,Categoria Cliente,Indirizzo Consegna,Shipping Information,Note Scarico,GDO,Customer Match Key,Address Match Key
426052,966932,AGRUSTI & C. SRL,VTIT-WHOLESALERS,VIA TITO SCHIPA SNC 70011 ALBEROBELLO,EVERY DAY 9:00-12:30,,SI,AGRUSTI C SRL,VIA TITO SCHIPA SNC 70011 ALBEROBELLO
426070,967070,GIOCABENE SRL,VTIT-WHOLESALERS,VIA DEL COMMERCIO 5 60127 ANCONA,,,SI,GIOCABENE SRL,VIA DEL COMMERCIO 5 60127 ANCONA
428046,969027,TELEALBA SRL,VTIT-GIOCHERIA,C.SO ASTI2/I BIS 12050 GUARENE,TUE-FRI 930 - 1230,,SI,TELEALBA SRL,C SO ASTI2 I BIS 12050 GUARENE
429078,999846,DIGIVAR SRL,VTIT-WHOLESALERS,"STRADA PROVINCIALE MACERATESE,130 62012 CIVITANOVA MARCHE",,RIBALTA,SI,DIGIVAR SRL,STRADA PROVINCIALE MACERATESE 130 62012 CIVITANOVA MARCHE
429081,967610,GENTILE GIOCATTOLI S.R.L.,VTIT-WHOLESALERS,VIA ALDO MORO 10 95045 MISTERBIANCO,"EVERY DAY 8,30-12,00",,SI,GENTILE GIOCATTOLI S R L,VIA ALDO MORO 10 95045 MISTERBIANCO
429090,967428,ROCCO GIOCATTOLI SRL,VTIT-WHOLESALERS,VIA ANTONIO CARRUCCIO 181/183 00134 ROMA,,,SI,ROCCO GIOCATTOLI SRL,VIA ANTONIO CARRUCCIO 181 183 00134 ROMA
429101,968026,TRE G srl,VTIT-WHOLESALERS,S.S. 16 perFoggia km 648 71016 SAN SEVERO,EVERY DAY 900-1230,,SI,TRE G SRL,S S 16 PERFOGGIA KM 648 71016 SAN SEVERO
429105,967446,TALARICO3 SRL,VTIT-GIOCHERIA,VIA R.LANZINO 8 88049 SOVERIA MANNELLI,EVERY DAY 8-18,,SI,TALARICO3 SRL,VIA R LANZINO 8 88049 SOVERIA MANNELLI
430065,968049,OTTOBRE TRADE SRL,VTIT-GIOCHERIA,VIA LIPARI 19 89015 PALMI,EVERY DAY 9-18,,SI,OTTOBRE TRADE SRL,VIA LIPARI 19 89015 PALMI
430068,968067,RIALTO SPA,VTIT-GIGANTE (Rialto),VIA CLERICI 342 20091 BRESSO,EVERY DAY 7-12,,SI,RIALTO SPA,VIA CLERICI 342 20091 BRESSO
